2020,Tesla,Model Y Performance,5,9,5,6,6,31,9,6,6,9,7,37,68,32:36,https://www.youtube.com/watch?v=xAXDcTH6hPw,San Diego,California,USA
2020,Rolls-Royce,Cullinan Black Badge,6,6,4,5,7,28,10,10,9,6,5,40,68,29:28,https://www.youtube.com/watch?v=BfITC_DcbJE,San Diego,California,UK
2019,Audi,RS5 Sportback,7,8,6,7,5,33,8,7,7,7,6,35,68,23:17,https://www.youtube.com/watch?v=A8Az8mlYYmk,Costa Mesa,California,Germany
2019,Rolls-Royce,Cullinan,6,6,4,5,7,28,9,10,9,7,5,40,68,11:34,https://www.youtube.com/watch?v=PLNq8WBuOXU,La Jolla,California,UK
2017,Ford,GT,8,10,10,10,10,48,5,2,6,1,6,20,68,17:38,https://www.youtube.com/watch?v=7AZLu45nl5A,Tooele,Utah,USA
2018,Porsche,Panamera Turbo Sport Turismo,6,8,6,6,6,32,7,7,9,8,5,36,68,24:28,https://www.youtube.com/watch?v=svYy0rWeyzc,Warrington,Pennsylvania,Germany
2018,Rolls-Royce,Phantom,6,5,5,6,8,30,9,10,9,5,5,38,68,33:31,https://www.youtube.com/watch?v=TBIkJSpqcFs,La Jolla,California,UK
2020,Audi,R8 Decennium,7,10,8,9,7,41,7,5,8,2,5,27,68,21:43,https://www.youtube.com/watch?v=LLMIH9NJ5_o&t=1152s,Costa Mesa,California,Germany
2020,Bentley,Flying Spur W12,7,8,5,5,6,31,8,9,9,5,6,37,68,25:00,https://www.youtube.com/watch?v=S_Bd6zK4V9M,San Diego,California,UK
2022,Porsche,Cayman GT4RS,6,9,9,9,8,41,6,3,8,2,7,26,67,30:20,https://www.youtube.com/watch?v=XiWh01ZTA_0&t=1s,San Diego,California,Germany
2022,Porsche,911 GTS Coupe,7,9,8,8,6,38,7,4,9,3,6,29,67,21:58,https://www.youtube.com/watch?v=ZER-dw8f4gQ,San Diego,California,Germany
2021,Mecedes-AMG,GT Black Series,7,9,9,9,8,42,6,3,7,3,6,25,67,27:52,https://www.youtube.com/watch?v=N_zjDP3D5x0&t=3s,Temecula,California,Germany
2018,Mercedes-Benz,AMG GTR,7,9,8,9,7,40,6,4,7,3,7,27,67,20:06,https://www.youtube.com/watch?v=YqvOHgBhnBU,Newport Beach,California,Germany
2021,Dodge,Durango Hellcat,6,9,5,7,6,33,7,6,6,9,6,34,67,27:38,https://www.youtube.com/watch?v=BfYjpJuFl1s&t=318s,Charlotte,North Carolina,USA
2015,McLaren,650S,7,10,9,9,7,42,6,4,6,2,7,25,67,18:30,https://www.youtube.com/watch?v=zTcDeVYW-Mo,Tysons Corner,Virginia,UK
2021,Porsche,Cayenne GTS,7,7,6,6,5,31,8,7,8,8,5,36,67,14:28,https://www.youtube.com/watch?v=rl6CBgwomfU,San Diego,California,Germany
2019,Mercedes - Benz,AMG G63,7,7,5,6,6,31,7,8,7,9,5,36,67,24:13,https://www.youtube.com/watch?v=gCMQS3UDabo,Upland,California,Germany
2011,Ferrari,599 GTO,8,9,9,9,8,43,5,4,7,2,6,24,67,20:28,https://www.youtube.com/watch?v=aYiZolpcOow,Upland,California,Italy
2020,Porsche,911 991 Speedster,7,8,8,10,7,40,6,4,9,2,6,27,67,23:39,https://www.youtube.com/watch?v=2tT-zKgJEM8&t=3s,San Diego,California,Germany
2019,Tesla,Model 3 Performance,5,9,6,6,5,31,9,7,6,6,8,36,67,34:09,https://www.youtube.com/watch?v=YvsnIL0AIAk&t=18s,,California,USA
2020,McLaren,GT,7,9,8,8,7,39,6,5,7,4,6,28,67,25:46,https://www.youtube.com/watch?v=HvM_pEjGiuQ&t=43s,San Diego,California,UK
2020,Porsche,911 Carrera S,7,9,8,7,6,37,7,5,9,3,6,30,67,29:34,https://www.youtube.com/watch?v=wYLMKAIJRd8&t=151s,San Diego,California,Germany
2006,Bugatti,Veyron,7,10,8,10,10,45,4,4,7,1,6,22,67,34:31,https://www.youtube.com/watch?v=nxPNRiFMbL8,Upland,California,France
2019,Aston Martin,DB11 AMR,8,9,7,7,7,38,6,6,8,4,5,29,67,10:28,https://www.youtube.com/watch?v=NI5j6lIOX2M,Newport Beach,California,UK
2010,Audi,R8 V10,8,8,8,8,7,39,5,5,8,2,8,28,67,10:49,https://www.youtube.com/watch?v=uUbg4F1Eci0,San Francisco,California,Germany
2019,Aston Martin,Vantage,7,9,8,8,7,39,6,6,7,3,6,28,67,23:13,https://www.youtube.com/watch?v=ZjMYFcFXUs4,Newport Beach,California,UK
2017,Ferrari,California T,7,9,8,8,7,39,6,5,8,3,6,28,67,11:56,https://www.youtube.com/watch?v=oy4f0y5tC0k,Colts Neck,New Jersey,Italy
2017,Mercedes-Benz,AMG GT S,7,8,8,8,7,38,6,6,7,3,7,29,67,8:13,https://www.youtube.com/watch?v=Y2j_IQVRiiU,West Chester,Pennsylvania,Germany
2005,Ford,GT,9,8,9,10,9,45,3,4,7,1,7,22,67,8:31,https://www.youtube.com/watch?v=UI1dXwcJec4,Brampton,Ontario,USA
2017,Lamborghini,Aventador SV,8,10,8,9,9,44,6,3,7,2,5,23,67,14:42,https://www.youtube.com/watch?v=zbeBtjntISs,Tysons Corner,Virginia,Italy
